Id,K-Shell
1.7603825833119E+018,3
1.08000368080656E+018,24
1.01168464062781E+018,18
1.05670993279862E+018,5
1.09690050751854E+018,8
1.20501213886091E+018,2
1.21864087741919E+018,12
1.29142712057758E+018,2
1.33420498768613E+018,12
1371454321,17
1.37275035591886E+018,9
1.42775535479276E+018,10
1.45734801390346E+018,18
1.48219246230309E+018,22
1.49026782207273E+018,16
1.51431807834328E+018,19
1.51490548359704E+018,14
1.53069423194527E+018,1
1.53343849229817E+018,23
1.53359356275504E+018,8
1.54493936760875E+018,3
1.55621542248316E+018,3
1.56140449872309E+018,3
1.57158178299836E+018,18
1.57558687911815E+018,18
1.57667992187064E+018,24
1.57985122720203E+018,16
1.58845797798336E+018,24
1.58890541144446E+018,24
1.59801458464793E+018,12
1.66308208084095E+018,19
1.75709438049248E+018,17
1.79498791281304E+018,19
23231946,15
8.27093016917705E+017,12
8.68231463061377E+017,1
88447782,4
9.82872801026761E+017,1
1.08014375010873E+018,1
1.246417618548E+018,2
1.08050828353279E+018,4
1.19002296042328E+018,2
1.73249851530819E+018,24
1.23040625160928E+018,1
1.77397846294186E+018,20
1.0807270252901E+018,17
1.01396411509244E+018,1
117259889,1
1.24918480072177E+018,8
1.28862587044231E+018,5
1.57410405544979E+018,4
1.65650385381724E+018,4
1.73321234876298E+018,2
1.73771500282652E+018,4
1.75749598883339E+018,10
1.75927013004593E+018,16
2950042619,21
764537,4
9.92762590764905E+017,16
1.0809581174359E+018,3
1.3319869635289E+018,6
1.58040478256899E+018,11
1.0815857477429E+018,1
1.08178685845397E+018,2
1.08225776624328E+018,24
1.08238968298455E+018,3
1.0824324217385E+018,1
1.08258364357757E+018,20
1.23046313992754E+018,21
1.44244491725134E+018,20
1.64029792710809E+018,12
9.5162681934157E+017,4
9.67709919540597E+017,18
1.2722792524996E+018,4
1.08289272944787E+018,6
1.0570604843216E+018,5
1.08303568674217E+018,1
1.58819220014339E+018,17
1.08308827118861E+018,1
1.08397154095639E+018,1
307331181,1
1.0840704567879E+018,2
1.3812845537305E+018,9
1.81123494441014E+018,4
1.0845895983014E+018,1
108525514,5
1.6846142883783E+018,16
1.76612213072115E+018,22
1.08557955709952E+018,1
1.08574113220888E+018,1
1.08623081808165E+018,1
1.09465818159322E+018,25
1.19036101446387E+018,25
1.37038190183653E+018,21
1.38315616150393E+018,29
1.46481014060817E+018,6
1.65741816189171E+018,29
